Experiment;Structure;Fragment;Species;Date;Green;Survival (%)
MAP;2;9;Acropora verweyi;24-6-2020;;0
MAP;2;10;Millepora sp;24-6-2020;;0
MAP;2;11;Porites cylindrica;24-6-2020;;0
MAP;2;12;Acropora verweyi;24-6-2020;43.21467805;100
MAP;2;13;Millepora sp;24-6-2020;;0
MAP;2;14;Porites cylindrica;24-6-2020;;0
MAP;2;15;Pocillopora verrucose;24-6-2020;;0
MAP;3;16;Millepora sp;24-6-2020;47.23700361;10
MAP;3;1;Acropora verweyi;10-3-2020;106.3139493;100
MAP;3;2;Pocillopora verrucose;10-3-2020;141.4938945;100
MAP;3;3;Millepora sp;10-3-2020;144.43863;80
MAP;3;4;Millepora sp;10-3-2020;134.992487;80
MAP;3;5;Pocillopora verrucose;10-3-2020;119.3055246;100
MAP;3;6;Porites cylindrica;10-3-2020;134.1601238;90
MAP;3;7;Acropora verweyi;10-3-2020;134.2824146;100
MAP;3;8;Porites cylindrica;10-3-2020;145.0114964;90
MAP;3;9;Porites cylindrica;10-3-2020;118.5974287;20
MAP;3;10;Acropora verweyi;10-3-2020;126.4996425;100
MAP;3;11;Porites cylindrica;10-3-2020;147.2924144;30
MAP;3;12;Pocillopora verrucose;10-3-2020;133.2534819;60
MAP;3;13;Millepora sp;10-3-2020;100.0028552;100
MAP;3;14;Millepora sp;10-3-2020;;0
MAP;3;15;Acropora verweyi;10-3-2020;120.9298766;100
MAP;3;16;Pocillopora verrucose;10-3-2020;142.2763413;70
MAP;3;1;Acropora verweyi;16-3-2020;71.59435532;100
MAP;3;2;Pocillopora verrucose;16-3-2020;135.0281355;100
MAP;3;3;Millepora sp;16-3-2020;74.92655459;20
MAP;3;4;Millepora sp;16-3-2020;90.58647257;30
MAP;3;5;Pocillopora verrucose;16-3-2020;112.6097879;90
MAP;3;6;Porites cylindrica;16-3-2020;115.3212531;100
MAP;3;7;Acropora verweyi;16-3-2020;82.06169929;100
MAP;3;8;Porites cylindrica;16-3-2020;86.38748176;30
MAP;3;9;Porites cylindrica;16-3-2020;111.2111155;80
MAP;3;10;Acropora verweyi;16-3-2020;72.30751487;100
MAP;3;11;Porites cylindrica;16-3-2020;112.253719;40
MAP;3;12;Pocillopora verrucose;16-3-2020;110.4182606;90
MAP;3;13;Millepora sp;16-3-2020;39.90988013;70
MAP;3;14;Millepora sp;16-3-2020;44.32759653;60
MAP;3;15;Acropora verweyi;16-3-2020;70.60993818;100
MAP;3;16;Pocillopora verrucose;16-3-2020;126.9024315;60
MAP;3;1;Acropora verweyi;24-3-2020;96.48483554;100
MAP;3;2;Pocillopora verrucose;24-3-2020;179.7800114;100
MAP;3;3;Millepora sp;24-3-2020;152.3202881;80
MAP;3;4;Millepora sp;24-3-2020;126.8856273;80
MAP;3;5;Pocillopora verrucose;24-3-2020;200.9950458;100
MAP;3;6;Porites cylindrica;24-3-2020;182.6662942;70
MAP;3;7;Acropora verweyi;24-3-2020;87.32012131;100
MAP;3;8;Porites cylindrica;24-3-2020;164.3220229;80
MAP;3;9;Porites cylindrica;24-3-2020;203.1948961;70
MAP;3;10;Acropora verweyi;24-3-2020;84.42252506;100
MAP;3;11;Porites cylindrica;24-3-2020;194.0353887;30
MAP;3;12;Pocillopora verrucose;24-3-2020;173.6486611;80
MAP;3;13;Millepora sp;24-3-2020;106.6034962;100
MAP;3;14;Millepora sp;24-3-2020;103.9220518;80
MAP;3;15;Acropora verweyi;24-3-2020;88.11705655;100
MAP;3;16;Pocillopora verrucose;24-3-2020;160.353159;100
MAP;3;1;Acropora verweyi;31-3-2020;93.88400172;100
MAP;3;2;Pocillopora verrucose;31-3-2020;186.5105495;100
MAP;3;3;Millepora sp;31-3-2020;137.4257489;50
MAP;3;4;Millepora sp;31-3-2020;131.4727635;60
MAP;3;5;Pocillopora verrucose;31-3-2020;186.5309933;100
MAP;3;6;Porites cylindrica;31-3-2020;155.3636096;80
MAP;3;7;Acropora verweyi;31-3-2020;84.20710692;100
MAP;3;8;Porites cylindrica;31-3-2020;148.4879268;70
MAP;3;9;Porites cylindrica;31-3-2020;190.4865531;50
MAP;3;10;Acropora verweyi;31-3-2020;84.05576387;100
MAP;3;11;Porites cylindrica;31-3-2020;156.7064272;30
MAP;3;12;Pocillopora verrucose;31-3-2020;151.9629174;80
MAP;3;13;Millepora sp;31-3-2020;143.4825234;60
MAP;3;14;Millepora sp;31-3-2020;103.0700733;70
MAP;3;15;Acropora verweyi;31-3-2020;78.35446771;100
MAP;3;16;Pocillopora verrucose;31-3-2020;145.6465192;90
MAP;3;1;Acropora verweyi;7-4-2020;150.3159569;100
MAP;3;2;Pocillopora verrucose;7-4-2020;176.3614285;100
MAP;3;3;Millepora sp;7-4-2020;151.1154408;20
MAP;3;4;Millepora sp;7-4-2020;158.8669568;20
MAP;3;5;Pocillopora verrucose;7-4-2020;171.3938889;90
MAP;3;6;Porites cylindrica;7-4-2020;143.4513467;40
MAP;3;7;Acropora verweyi;7-4-2020;137.5352342;100
MAP;3;8;Porites cylindrica;7-4-2020;180.4053573;60
MAP;3;9;Porites cylindrica;7-4-2020;211.1200775;70
MAP;3;10;Acropora verweyi;7-4-2020;101.2312054;100
MAP;3;11;Porites cylindrica;7-4-2020;231.2744833;20
MAP;3;12;Pocillopora verrucose;7-4-2020;167.9007499;70
MAP;3;13;Millepora sp;7-4-2020;205.9781561;70
MAP;3;14;Millepora sp;7-4-2020;128.4628352;80
MAP;3;15;Acropora verweyi;7-4-2020;130.5450743;100
MAP;3;16;Pocillopora verrucose;7-4-2020;148.135211;90
MAP;3;1;Acropora verweyi;14-4-2020;171.1982965;100
MAP;3;2;Pocillopora verrucose;14-4-2020;185.1908821;90
MAP;3;3;Millepora sp;14-4-2020;220.174847;30
MAP;3;4;Millepora sp;14-4-2020;172.9764715;10
MAP;3;5;Pocillopora verrucose;14-4-2020;185.5389897;90
